Scientific Name,SSID,QID,WordNet Definition,Wikidata Description,Status,Accept,
Vaccinium angustifolium,12267458-n,Q512441,low-growing deciduous shrub of northeastern North America having flowers in compact racemes and bearing sweet dark blue berries,species of plant,No taxon match,TRUE,
Caryota urens,12607893-n,Q766995,fishtail palm of India to Malay Peninsula; sap yields a brown sugar (jaggery) and trunk pith yields sago,species of plant,No taxon match,TRUE,
Arenaria serpyllifolia,11827283-n,Q937450,Eurasian annual sprawling plant naturalized throughout North America,species of plant,No taxon match,TRUE,
Euphorbia dentata,12942879-n,Q978763,an annual weed of northeastern North America with dentate leaves,species of plant,No taxon match,TRUE,
Tsuga canadensis,11647963-n,Q1137143,common forest tree of the eastern United States and Canada; used especially for pulpwood,species of plant,No taxon match,TRUE,
Tsuga heterophylla,11648538-n,Q1144409,tall evergreen of western North America; commercially important timber tree,species of plant,No taxon match,TRUE,
Euphorbia marginata,12940163-n,Q1152788,annual spurge of western United States having showy white-bracted flower clusters and very poisonous milk,species of plant,No taxon match,TRUE,
Taxodium mucronatum,84172907-n,Q1429751,cypress tree of river valleys of Mexican highlands,species of plant,No taxon match,TRUE,
Fucus serratus,01407748-n,Q1506400,brown algae seaweed with serrated edges,species of Phaeophyceae,No taxon match,TRUE,
Cryptotis parva,01896040-n,Q1764011,small brown shrew of grassy regions of eastern United States,species of mammal,No taxon match,TRUE,
Gempylus serpens,02624879-n,Q1817179,predatory tropical fishes with jutting jaws and strong teeth,species of fish,No taxon match,TRUE,
Pinus resinosa,11636937-n,Q2045958,pine of eastern North America having long needles in bunches of two and reddish bark,species of plant,No taxon match,TRUE,
Rodolia cardinalis,02169478-n,Q2235176,native to Australia; introduced elsewhere to control scale insects,species of beetle,No taxon match,TRUE,
Caranx crysos,02579795-n,Q2288528,fish of western Atlantic: Cape Cod to Brazil,species of fish,No taxon match,TRUE,
Epacris impressa,12274004-n,Q2494794,spindly upright shrub of southern Australia and Tasmania having white to rose or purple-red flowers,species of plant,No taxon match,TRUE,
Dialeurodes citri,02249593-n,Q2685673,whitefly that attacks citrus trees,species of insect,No taxon match,TRUE,
Agave atrovirens,12498252-n,Q2714978,"Mexican plant used especially for making pulque which is the source of the colorless Mexican liquor, mescal",species of plant,No taxon match,TRUE,
Arabidopsis lyrata,11892217-n,Q3206119,a small noninvasive cross-pollinating plant with white flowers; closely related to Arabidopsis thaliana,species of plant,No taxon match,TRUE,
Dolichos lablab,12558074-n,Q3712638,perennial twining vine of Old World tropics having trifoliate leaves and racemes of fragrant purple pea-like flowers followed by maroon pods of edible seeds; grown as an ornamental and as a vegetable on the Indian subcontinent; sometimes placed in genus Dolichos,species of plant,No taxon match,TRUE,
Veronicastrum virginicum,12903081-n,Q4108065,a tall perennial herb having spikes of small white or purple flowers; common in eastern North America,species of plant,No taxon match,TRUE,
Podocarpus elongatus,11673029-n,Q5410640,South African tree or shrub having a rounded crown,species of plant,No taxon match,TRUE,
Gentiana villosa,12315946-n,Q5533630,a perennial marsh gentian of eastern North America,species of plant,No taxon match,TRUE,
Helianthus petiolaris,11999996-n,Q5704886,similar to the common sunflower with slender usually branching stems common in central United States,species of plant,No taxon match,TRUE,
Bocconia frutescens,11923802-n,Q5730997,small Central American tree having loose racemes of purple-tinted green flowers,species of plant,No taxon match,TRUE,
Oenothera fruticosa,12365217-n,Q7078662,a day-flowering biennial or perennial of the genus Oenothera,species of plant,No taxon match,TRUE,
Parnassia fimbriata,12822726-n,Q7139267,bog plant with broadly heart-shaped basal leaves and cream-colored or white saucer-shaped flowers with fringed petals; west of Rocky Mountains from Alaska to New Mexico,species of plant,No taxon match,TRUE,
Callitris glaucophylla,11654694-n,Q7177505,small tree or shrub of southern Australia,species of plant,No taxon match,TRUE,
Helianthus giganteus,11999430-n,Q12212017,very tall American perennial of central and the eastern United States to Canada having edible tuberous roots,species of plant,No taxon match,TRUE,
Satureja acinos,12860334-n,Q12248162,fragrant European mint having clusters of small violet-and-white flowers; naturalized especially in eastern North America,species of plant,No taxon match,TRUE,
Bufo marinus,01649029-n,Q13165156,largest known toad species; native to Central America; valuable destroyer of insect pests,species of amphibian,No taxon match,TRUE,
Argyrotaenia citrana,02287536-n,Q13394225,California moth whose larvae live in especially oranges,species of insect,No taxon match,TRUE,
Cassia alata,12519944-n,Q15283803,tropical shrub (especially of Americas) having yellow flowers and large leaves whose juice is used as a cure for ringworm and poisonous bites; sometimes placed in genus Cassia,species of plant,No taxon match,TRUE,
Epacris purpurascens,12274352-n,Q15376759,small shrub of southern and western Australia having pinkish to rosy purple tubular flowers,species of plant,No taxon match,TRUE,
Chionochloa conspicua,12129882-n,Q15512764,used by Maoris for thatching,species of plant,No taxon match,TRUE,
Cirsium helenioides,11975267-n,Q15546864,perennial stoloniferous thistle of northern Europe with lanceolate basal leaves and usually solitary heads of reddish-purple flowers,species of plant,No taxon match,TRUE,
Todea superba,12975113-n,Q17259942,New Zealand with pinnate fronds and a densely woolly stalks; sometimes included in genus Todea,species of insect,No taxon match,TRUE,
Dacrydium franklinii,11676574-n,Q17363776,Tasmanian timber tree with yellow aromatic wavy-grained wood used for carving and ship building; sometimes placed in genus Dacrydium,species of plant,No taxon match,TRUE,
Erigeron canadensis,11976817-n,Q21874197,common North American weed with linear leaves and small discoid heads of yellowish flowers; widely naturalized throughout temperate regions; sometimes placed in genus Erigeron,species of plant,No taxon match,TRUE,
Gerardia pedicularia,12899544-n,Q21874363,multi-stemmed North American annual having solitary axillary dark golden-yellow flowers resembling those of the foxglove; sometimes placed in genus Gerardia,,No taxon match,TRUE,
Saponaria vaccaria,11839105-n,Q21877287,European annual with pale rose-colored flowers; cultivated flower or self-sown grainfield weed; introduced in North America; sometimes classified as a soapwort,species of plant,No taxon match,TRUE,
Lychnis dioica,11836590-n,Q21976213,biennial European catchfly having red or pink flowers; sometimes placed in genus Lychnis,species of plant,No taxon match,TRUE,
Solenostemon scutellarioides,12866173-n,Q22112698,perennial aromatic herb of southeastern Asia having large usually bright-colored or blotched leaves and spikes of blue-violet flowers; sometimes placed in genus Solenostemon,species of plant,No taxon match,TRUE,
Eudromias morinellus,02026839-n,Q25677554,rare plover of upland areas of Eurasia,species of bird,No taxon match,TRUE,
Phylloscopus sibilatrix,01567986-n,Q27075477,European woodland warbler with dull yellow plumage,species of bird,No taxon match,TRUE,
Calyptridium umbellatum,11882769-n,Q32855932,pink clusters of densely packed flowers on prostrate stems resemble upturned pads of cats' feet; grow in coniferous forests of western North America,species of plant,No taxon match,TRUE,
Rhus laurina,12781635-n,Q38422260,small aromatic evergreen shrub of California having paniculate leaves and whitish berries; in some classifications included in genus Rhus,species of plant,No taxon match,TRUE,
Rhus diversiloba,12787968-n,Q38423922,poisonous shrub of the Pacific coast of North America that causes a rash on contact,species of plant,No taxon match,TRUE,
Arenaria caroliniana,11826838-n,Q38617331,deep-rooted perennial of southeastern United States,species of plant,No taxon match,TRUE,
Cassia fasciculata,12514863-n,Q39130230,tropical American plant having leaflets somewhat sensitive to the touch; sometimes placed in genus Cassia,species of plant,No taxon match,TRUE,
Sarcocephalus diderrichii,12689678-n,Q39804232,large African forest tree yielding a strong hard yellow to golden brown lumber; sometimes placed in genus Sarcocephalus,species of plant,No taxon match,TRUE,
Pritzelago alpina,11914385-n,Q42350193,small tufted perennial herb of mountains of central and southern Europe having very small flowers of usually leafless stems; sometimes placed in genus Lepidium,species of plant,No taxon match,TRUE,
Lotus americanus,12565737-n,Q87632238,North American annual with red or rose-colored flowers,,No taxon match,TRUE,
Mucuna aterrima,12570913-n,Q87634427,the annual woody vine of Asia having long clusters of purplish flowers and densely hairy pods; cultivated in southern United States for green manure and grazing,,No taxon match,TRUE,
Albatrellus dispansus,13071465-n,Q103817214,a rare fungus having a large (up to 14 inches wide) yellow fruiting body with multiple individual caps and a broad central stalk and a fragrant odor,species of fungus,No taxon match,TRUE,
Tricholoma irinum,13042449-n,Q108442984,an edible agaric with large silky white caps and thick stalks,species of fungi in the genus Tricholoma,No taxon match,TRUE,
Matricaria oreades,12049287-n,Q109732821,mat-forming perennial herb of Asia Minor; sometimes included in genus Matricaria,,No taxon match,TRUE,
Actinomeris alternifolia,12051377-n,Q109739047,perennial herb with showy yellow flowers; the eastern United States,,No taxon match,TRUE,
Sphaeralcea fasciculata,12203543-n,Q110132323,shrub of coastal ranges of California and Baja California having hairy branches and spikes of numerous mauve flowers; sometimes placed in genus Sphaeralcea,,No taxon match,TRUE,
Arcticonus thibetanus,02136356-n,Q122451771,bear with a black coat living in central and eastern Asia,species of mammal,No taxon match,TRUE,
Hyacinthoides nonscripta,12479780-n,Q123562588,sometimes placed in genus Scilla,,No taxon match,TRUE,
Falco subbuteo,01615117-n,Q25876,small Old World falcon formerly trained and flown at small birds,species of bird,No taxon match,TRUE,
Juniperus communis,11658560-n,Q26325,densely branching shrub or small tree having pungent blue berries used to flavor gin; widespread in Northern Hemisphere; only conifer on coasts of Iceland and Greenland,species of plant,No taxon match,TRUE,
Cicer arietinum,12536216-n,Q81375,Asiatic herb cultivated for its short pods with one or two edible seeds,species of legume plant,No taxon match,TRUE,
Fagopyrum esculentum,12622255-n,Q132734,a member of the genus Fagopyrum; annual Asian plant with clusters of small pinkish white flowers and small edible triangular seeds which are used whole or ground into flour,species of flowering plant in the family Polygonaceae,No taxon match,TRUE,
Araucaria columnaris,11666968-n,Q134045,very tall evergreen of New Caledonia and the New Hebrides similar to Norfolk Island pine,species of plant,No taxon match,TRUE,
Hyalophora cecropia,02305936-n,Q142322,North American silkworm moth; larvae feed on the leaves of forest trees,species of insect,No taxon match,TRUE,
Euphorbia milii,12942628-n,Q148829,somewhat climbing bushy spurge of Madagascar having long woody spiny stems with few leaves and flowers with scarlet bracts,species of plant,No taxon match,TRUE,
Acanthocereus tetragonus,11863522-n,Q149401,cactus of the southwestern United States and northern Mexico having edible juicy fruit,species of plant,No taxon match,TRUE,
Hevea brasiliensis,12946799-n,Q156538,deciduous tree of the Amazon and Orinoco Rivers having leathery leaves and fragrant yellow-white flowers; it yields a milky juice that is the chief source of commercial rubber,species of plant,No taxon match,TRUE,
Zannichellia palustris,12638907-n,Q159194,found in still or slow-moving fresh or brackish water; useful to oxygenate cool water ponds and aquaria,species of plant,No taxon match,TRUE,
Erysimum cheiri,11903797-n,Q159370,perennial of southern Europe having clusters of fragrant flowers of all colors especially yellow and orange; often naturalized on old walls or cliffs; sometimes placed in genus Erysimum,species of plant,No taxon match,TRUE,
Podocarpus totara,11673577-n,Q164276,valuable timber tree of New Zealand yielding hard reddish wood used for furniture and bridges and wharves,species of plant,No taxon match,TRUE,
Natrix natrix,01740516-n,Q170713,harmless European snake with a bright yellow collar; common in England,species of reptile,No taxon match,TRUE,
Helicobacter pylori,01354329-n,Q180556,the type species of genus Heliobacter; produces urease and is associated with several gastroduodenal diseases (including gastritis and gastric ulcers and duodenal ulcers and other peptic ulcers),species of bacteria,No taxon match,TRUE,
Ochotona collaris,02331594-n,Q185540,similar to little chief hare and may be same species,species of mammal,No taxon match,TRUE,
Euphorbia pulcherrima,12940964-n,Q208253,tropical American plant having poisonous milk and showy tapering usually scarlet petallike leaves surrounding small yellow flowers,"species of plant, Poinsettia",No taxon match,TRUE,
Pipa pipa,01656724-n,Q220414,a South American toad; incubates its young in pits in the skin of its back,species of amphibian,No taxon match,TRUE,
Lasiurus borealis,02148853-n,Q301708,North American bat of a brick or rusty red color with hairs tipped with white,species of mammal,No taxon match,TRUE,
Plasmodium vivax,01427061-n,Q311376,parasitic protozoan of the genus Plasmodium that causes malaria in humans,species of malaria parasite,No taxon match,TRUE,
Sorex cinereus,01894786-n,Q469038,commonest shrew of moist habitats in North America,species of mammal,No taxon match,TRUE,
Nephrops norvegicus,01986886-n,Q551915,edible European lobster resembling the American lobster but slenderer,species of crustacean,No taxon match,TRUE,
Paradisea liliastrum,12627449-n,Q660341,a variety of spiderwort,species of plant,No taxon match,TRUE,
Crotalus adamanteus,01758222-n,Q744532,large deadly rattlesnake with diamond-shaped markings,species of rattlesnake found in the United States,No taxon match,TRUE,
Manilkara bidentata,12795059-n,Q804658,a tropical hardwood tree yielding balata gum and heavy red timber,species of plant,No taxon match,TRUE,
Ictalurus punctatus,02522317-n,Q836957,freshwater food fish common throughout central United States,species of fish,No taxon match,TRUE,
Pinus rigida,11631807-n,Q837410,large three-needled pine of the eastern United States and southeastern Canada; closely related to the pond pine,species of plant,No taxon match,TRUE,
Dracunculus vulgaris,11808851-n,Q934650,European arum resembling the cuckoopint,species of plant,No taxon match,TRUE,
Pseudopleuronectes americanus,02662108-n,Q1071815,important American food fish in the winter,species of fish,No taxon match,TRUE,
Scophthalmus rhombus,02665623-n,Q1122881,European food fish,species of fish,No taxon match,TRUE,
Picea orientalis,11646860-n,Q1145286,evergreen tree of the Caucasus and Asia Minor used as an ornamental having pendulous branchlets,species of plant,No taxon match,TRUE,
Celosia cristata,11845820-n,Q1186867,garden annual with featherlike spikes of red or yellow flowers,species of plant,No taxon match,TRUE,
Solanum aviculare,12914554-n,Q1295038,Australian annual sometimes cultivated for its racemes of purple flowers and edible yellow egg-shaped fruit,species of plant,No taxon match,TRUE,
Synaptomys cooperi,02348649-n,Q1367837,of low bogs and meadows of northeastern and central United States and southern Canada,species of mammal,No taxon match,TRUE,
Verpa conica,13054156-n,Q1417061,a morel with a fertile portion that has a relatively smooth surface; the stalk is fragile,species of fungus,No taxon match,TRUE,
Parascalops breweri,01892785-n,Q1470645,mole of eastern North America,species of mammal,No taxon match,TRUE,
Notophthalmus viridescens,01633542-n,Q1552306,red terrestrial form of a common North American newt,species of amphibian,No taxon match,TRUE,
Corydalus cornutus,02268702-n,Q1893881,large soft-bodied insect having long slender mandibles in the male; aquatic larvae often used as bait,species of insect,No taxon match,TRUE,
Dacrycarpus dacrydioides,11674355-n,Q1981615,New Zealand evergreen valued for its light easily worked wood,species of plant,No taxon match,TRUE,
Liparis liparis,02649924-n,Q2125926,small tadpole-shaped cold-water fishes with pelvic fins forming a sucker; related to lumpfish,species of fish,No taxon match,TRUE,
Heritiera littoralis,12220660-n,Q2574713,small tree of coastal regions of Old World tropics whose leaves are silvery beneath,species of mangrove tree in the family Malvaceae,No taxon match,TRUE,
Bufo speciosus,01649944-n,Q2715950,nocturnal burrowing toad of mesquite woodland and prairies of the United States southwest,species of amphibian,No taxon match,TRUE,
Brugmansia sanguinea,12920731-n,Q2926516,arborescent South American shrub having very large orange-red flowers,species of plant,No taxon match,TRUE,
Calochortus nuttallii,12469205-n,Q2934343,perennial plant having clusters of one to four showy white bell-shaped flowers atop erect unbranched stems; edible bulbs useful in times of scarcity; eastern Montana and western North Dakota south to northern Arizona and northwestern New Mexico,species of plant,No taxon match,TRUE,
Drymarchon corais,01743873-n,Q3014273,large dark-blue nonvenomous snake that invades burrows; found in southern North America and Mexico,species of reptile,No taxon match,TRUE,
Morchella angusticeps,13054337-n,Q3061791,a morel whose pitted fertile body is attached to the stalk with little free skirt around it; the fertile body is grey when young and black in old age,species of fungus,No taxon match,TRUE,
Pinus pungens,11638082-n,Q3087592,a small two-needled upland pine of the eastern United States (Appalachians) having dark brown flaking bark and thorn-tipped cone scales,species of plant,No taxon match,TRUE,
Chloris gayana,12135107-n,Q3133411,perennial grass of South Africa introduced into United States; cultivated as forage grass in dry regions,species of plant,No taxon match,TRUE,
Schlumbergera gaertneri,11868478-n,Q3153249,spring-blooming South American cactus with oblong joints and coral-red flowers; sometimes placed in genus Schlumbergera,species of plant,No taxon match,TRUE,
Vaccinium arboreum,12267290-n,Q3249733,shrub or small tree of eastern United States having black inedible berries,species of plant,No taxon match,TRUE,
Morchella crassipes,13054639-n,Q3323803,a delicious morel with a conic fertile portion having deep and irregular pits,species of fungus,No taxon match,TRUE,
Athyrium thelypteroides,13217636-n,Q4815739,fern with elongate silvery outgrowths enclosing the developing spores,species of plant,No taxon match,TRUE,
Podocarpus nivalis,11673417-n,Q4992302,low wide-spreading coniferous shrub of New Zealand mountains,species of plant,No taxon match,TRUE,
Eupatorium capillifolium,11988988-n,Q5409948,weedy plant of southeastern United States having divided leaves and long clusters of greenish flowers,species of plant,No taxon match,TRUE,
Chrysanthemum frutescens,11946367-n,Q5767778,perennial subshrub of the Canary Islands having usually pale yellow daisylike flowers; often included in genus Chrysanthemum,species of plant,No taxon match,TRUE,
Forestiera neomexicana,12323209-n,Q5863835,spiny branching deciduous shrub of southwestern United States having clusters of insignificant yellow-white flowers appearing before leaves followed by attractive black berrylike fruits,species of plant,No taxon match,TRUE,
Vaccinium scoparium,12269639-n,Q7907969,shrub of northwestern North America bearing red berries,species of plant,No taxon match,TRUE,
Peperomia argyreia,13171859-n,Q11167712,grown as a houseplant for its silvery striped fleshy foliage; South America,species of plant,No taxon match,TRUE,
Urocystis cepulae,13089495-n,Q14950172,smut fungus causing blackish blisters on scales and leaves of onions; especially destructive to seedlings,species of fungus,No taxon match,TRUE,
Sequoia gigantea,11661945-n,Q15024525,extremely lofty evergreen of southern end of western foothills of Sierra Nevada in California; largest living organism,later homonym,No taxon match,TRUE,
Desmodium motorium,12538518-n,Q15284053,erect tropical Asian shrub whose small lateral leaflets rotate on their axes and jerk up and down under the influence of sunshine,species of plant,No taxon match,TRUE,
Chrysanthemum morifolium,11981569-n,Q15530181,of China,species of plant,No taxon match,TRUE,terrible definition
Lycopersicon esculentum,12926577-n,Q15530945,native to South America; widely cultivated in many varieties,species of plant,No taxon match,TRUE,
Chrysanthemum maximum,12010636-n,Q15593324,similar to oxeye daisy,species of plant,No taxon match,TRUE,
Pilosella officinarum,12024589-n,Q15593797,European hawkweed having soft hairy leaves; sometimes placed in genus Hieracium,species of plant,No taxon match,TRUE,
Halogeton glomeratus,11854218-n,Q15709475,a coarse annual herb introduced into North America from Siberia; dangerous to sheep and cattle on western rangelands because of its high oxalate content,species of plant,No taxon match,TRUE,
Swertia speciosa,12313697-n,Q18081514,tall herb with panicles of white flowers flushed with green; northwestern United States; sometimes placed in genus Swertia,species of plant,No taxon match,TRUE,
Ceterach officinarum,13204387-n,Q17277954,small European fern with chaffy leathery fronds,species of plant,No taxon match,TRUE,
Bufotes viridis,01649543-n,Q21245936,Eurasian toad with variable chiefly green coloring,species of amphibian,No taxon match,TRUE,
Cassia tora,12521023-n,Q21872227,cosmopolitan tropical herb or subshrub with yellow flowers and slender curved pods; a weed; sometimes placed in genus Cassia,species of plant,No taxon match,TRUE,
Convolvulus sepium,12845821-n,Q21872752,common Eurasian and American wild climber with pink flowers; sometimes placed in genus Convolvulus,species of morning glory plant,No taxon match,TRUE,
Cornu aspersum,01947784-n,Q22019793,serious garden pest having a brown shell with paler zigzag markings; nearly cosmopolitan in distribution,species of mollusc,No taxon match,TRUE,
