Language,WordNet SSID,Wikidata QID,WordNet Definition,Wikidata Definition,Exact,Accept,Wikidata
"Carib, Caribbean language",https://en-word.net/id/oewn-06930702-n,https://www.wikidata.org/entity/Q56611,the family of languages spoken by the Carib,"highly endangered South American language, spoken by the Kalina people (Caribs)",Exact,TRUE,
"Uto-Aztecan, Uto-Aztecan language",https://en-word.net/id/oewn-06931172-n,https://www.wikidata.org/entity/Q34073,a family of American Indian languages,language family,Exact,TRUE,
"Shoshonean, Shoshonean language, Shoshonian, Shoshonian language",https://en-word.net/id/oewn-06928089-n,,a subfamily of Uto-Aztecan languages spoken mainly in the southwestern United States,,None,FALSE,Doesn't exist
Shoshone,https://en-word.net/id/oewn-06927578-n,,the language spoken by the Shoshone (belonging to the Uto-Aztecan family),,None,FALSE,https://www.wikidata.org/wiki/Q33811
"Comanche, Comanche language",https://en-word.net/id/oewn-06927706-n,https://www.wikidata.org/entity/Q32972,the Shoshonean language spoken by the Comanche,Uto-Aztecan language spoken by the Comanche people in the United States,Exact,TRUE,
"Hopi, Hopi language",https://en-word.net/id/oewn-06927807-n,https://www.wikidata.org/entity/Q56421,the Shoshonean language spoken by the Hopi,Uto-Aztecan language spoken by the Hopi people of Arizona,Exact,TRUE,
"Paiute, Paiute language",https://en-word.net/id/oewn-06927900-n,,the Shoshonean language spoken by the Paiute,,None,FALSE,Not clear
"Ute, Ute language",https://en-word.net/id/oewn-06927997-n,https://www.wikidata.org/entity/Q13260,the Shoshonean language spoken by the Utes,"dialect chain of the Numic branch of the Uto-Aztecan language family, that stretches from southeastern California to Colorado",Multiple,FALSE,
"Ute, Ute language",https://en-word.net/id/oewn-06927997-n,https://www.wikidata.org/entity/Q7902619,the Shoshonean language spoken by the Utes,language,Multiple,TRUE,
"Pima, Pima language",https://en-word.net/id/oewn-06931416-n,https://www.wikidata.org/entity/Q2393095,the Uto-Aztecan language spoken by the Pima,Uto-Aztecan language spoken in Mexico and US,Exact,TRUE,
"Aztecan, Aztecan language",https://en-word.net/id/oewn-06931510-n,https://www.wikidata.org/entity/Q11965602,the Uto-Aztecan language spoken by the Aztec,language family in North America,Exact,TRUE,
"Nahuatl, Nahuatl language",https://en-word.net/id/oewn-06931608-n,https://www.wikidata.org/entity/Q13300,the Uto-Aztecan language spoken by the Nahuatl,language of the Nahuan branch of the Uto-Aztecan language family,Exact,TRUE,
"Cahita, Cahita language",https://en-word.net/id/oewn-06931708-n,https://www.wikidata.org/entity/Q57982892,the Uto-Aztecan language of the Cahita,language,Exact,TRUE,
"Tatahumara, Tatahumara language",https://en-word.net/id/oewn-06931799-n,,the Uto-Aztecan language of the Tatahumara,,None,FALSE,https://www.wikidata.org/wiki/Q36807
"Zapotec, Zapotecan, Zapotec language, Zapotecan language",https://en-word.net/id/oewn-06931898-n,https://www.wikidata.org/entity/Q13214,the language of the Zapotec,group of indigenous Mesoamerican languages,Multiple,TRUE,
"Zapotec, Zapotecan, Zapotec language, Zapotecan language",https://en-word.net/id/oewn-06931898-n,https://www.wikidata.org/entity/Q8066463,the language of the Zapotec,language family,Multiple,FALSE,
"Maya, Mayan, Mayan language",https://en-word.net/id/oewn-06931991-n,https://www.wikidata.org/entity/Q59245703,a family of American Indian languages spoken by Mayas,language of Australia,Multiple,FALSE,
"Maya, Mayan, Mayan language",https://en-word.net/id/oewn-06931991-n,https://www.wikidata.org/entity/Q33738,a family of American Indian languages spoken by Mayas,language family spoken in Mesoamerica,Multiple,TRUE,
"Maya, Mayan, Mayan language",https://en-word.net/id/oewn-06931991-n,https://www.wikidata.org/entity/Q5480718,a family of American Indian languages spoken by Mayas,language of Brazil,Multiple,FALSE,
"Maya, Mayan, Mayan language",https://en-word.net/id/oewn-06931991-n,https://www.wikidata.org/entity/Q16113131,a family of American Indian languages spoken by Mayas,Adamawa language group of Nigeria,Multiple,FALSE,
"Kekchi, Kekchi language",https://en-word.net/id/oewn-06938520-n,https://www.wikidata.org/entity/Q35536,a Mayan language spoken by the Kekchi,language,Exact,TRUE,
"Mam, Mam language",https://en-word.net/id/oewn-06938610-n,https://www.wikidata.org/entity/Q33467,a Mayan language spoken by the Mam,Mayan language,Exact,TRUE,
"Yucatec, Yucateco, Yucatec language, Yucateco language",https://en-word.net/id/oewn-06938694-n,https://www.wikidata.org/entity/Q13354,a Mayan language spoken by the Yucatec,Mayan language spoken in the Yucatán Peninsula,Exact,TRUE,
"Quiche, Quiche language",https://en-word.net/id/oewn-06938797-n,https://www.wikidata.org/entity/Q36494,the Mayan language spoken by the Quiche,Mayan language spoken by the K'iche' people,Exact,TRUE,
"Cakchiquel, Cakchiquel language",https://en-word.net/id/oewn-06938889-n,https://www.wikidata.org/entity/Q35115,the Mayan language spoken by the Cakchiquel,Mesoamerican language,Exact,TRUE,
"Siouan, Siouan language",https://en-word.net/id/oewn-06932906-n,https://www.wikidata.org/entity/Q34181,a family of North American Indian languages spoken by the Sioux,language family,Exact,TRUE,
"Biloxi, Biloxi language",https://en-word.net/id/oewn-06921177-n,https://www.wikidata.org/entity/Q2903780,the Siouan language spoken by the Biloxi,language,Exact,TRUE,
"Catawba, Catawba language",https://en-word.net/id/oewn-06921381-n,https://www.wikidata.org/entity/Q5051602,the Siouan language spoken by the Catawba,language,Exact,TRUE,
"Chiwere, Chiwere language",https://en-word.net/id/oewn-06921577-n,https://www.wikidata.org/entity/Q56737,the Siouan language spoken by the Iowa and Oto and Missouri,language,Exact,TRUE,
"Iowa, Ioway",https://en-word.net/id/oewn-06921744-n,,a dialect of the Chiwere language spoken by the Iowa,,None,FALSE,https://www.wikidata.org/wiki/Q135913323
Missouri,https://en-word.net/id/oewn-06921855-n,,a dialect of the Chiwere language spoken by the Missouri,,None,FALSE,https://www.wikidata.org/wiki/Q135913325
"Oto, Otoe",https://en-word.net/id/oewn-06921966-n,,a dialect of the Chiwere language spoken by the Oto,,None,FALSE,https://www.wikidata.org/wiki/Q135913333
"Crow, Crow language",https://en-word.net/id/oewn-06922167-n,https://www.wikidata.org/entity/Q1207611,a Siouan language spoken by the Crow,language,Exact,TRUE,
"Dakota, Dakota language",https://en-word.net/id/oewn-06922254-n,https://www.wikidata.org/entity/Q530384,the Siouan language spoken by the Dakota,Native American language,Exact,TRUE,
Dhegiha,https://en-word.net/id/oewn-06922448-n,,a branch of the Siouan languages,,None,FALSE,https://www.wikidata.org/wiki/Q3217420
"Kansa, Kansas",https://en-word.net/id/oewn-06923099-n,https://www.wikidata.org/entity/Q3192772,the Dhegiha dialect spoken by the Kansa,Siouan language of the Dhegihan group once spoken by the Kaw people,Exact,TRUE,
Omaha,https://en-word.net/id/oewn-06924260-n,https://www.wikidata.org/entity/Q26763622,the Dhegiha dialect spoken by the Omaha,language or dialect of the Omaha people,Exact,TRUE,
Osage,https://en-word.net/id/oewn-06924351-n,https://www.wikidata.org/entity/Q2600085,the Dhegiha dialect spoken by the Osage,language,Exact,TRUE,
"Ponca, Ponka",https://en-word.net/id/oewn-06924534-n,https://www.wikidata.org/entity/Q26763599,the Dhegiha dialect spoken by the Ponca,language or dialect of the Ponca people,Exact,TRUE,
Quapaw,https://en-word.net/id/oewn-06924832-n,https://www.wikidata.org/entity/Q3412974,the Dhegiha dialect spoken by the Quapaw,Siouan language spoken in Oklahoma,Exact,TRUE,
"Hidatsa, Gros Ventre, Gros Ventre language, Hidatsa language",https://en-word.net/id/oewn-06922708-n,https://www.wikidata.org/entity/Q3135234,a Siouan language spoken by the Hidatsa,North American language,Multiple,FALSE,
"Hidatsa, Gros Ventre, Gros Ventre language, Hidatsa language",https://en-word.net/id/oewn-06922708-n,https://www.wikidata.org/entity/Q56628,a Siouan language spoken by the Hidatsa,language,Multiple,FALSE,
"Hunkpapa, Hunkpapa language",https://en-word.net/id/oewn-06922815-n,,a Siouan language spoken by the Hunkpapa,,None,FALSE,https://www.wikidata.org/wiki/Q33537
"Ofo, Ofo language",https://en-word.net/id/oewn-06923956-n,https://www.wikidata.org/entity/Q3349758,a Siouan language spoken by the Ofo,language,Exact,TRUE,
"Oglala, Ogalala, Ogalala language, Oglala language",https://en-word.net/id/oewn-06924041-n,,a Siouan language spoken by the Oglala,,None,FALSE,https://www.wikidata.org/wiki/Q135913338
"Santee, Santee language",https://en-word.net/id/oewn-06925614-n,https://www.wikidata.org/entity/Q17145521,the Siouan language spoken by the Santee,"language of the Santee people of South Carolina, probably a dialect of Catawba",Exact,TRUE,
"Tutelo, Tutelo language",https://en-word.net/id/oewn-06925897-n,https://www.wikidata.org/entity/Q2311602,the Siouan language spoken by the Tutelo,language,Exact,TRUE,
"Winnebago, Winnebago language",https://en-word.net/id/oewn-06925990-n,https://www.wikidata.org/entity/Q1957108,the Siouan language spoken by the Winnebago,language,Exact,TRUE,
"Tanoan, Tanoan language",https://en-word.net/id/oewn-06933274-n,https://www.wikidata.org/entity/Q386288,a family of North American Indian language spoken in southwestern United States,language family,Exact,TRUE,
"Kiowa, Kiowa language",https://en-word.net/id/oewn-06933442-n,https://www.wikidata.org/entity/Q56631,the Tanoan language spoken by the Kiowa,Tanoan language,Exact,TRUE,
"Hokan, Hoka",https://en-word.net/id/oewn-06933533-n,https://www.wikidata.org/entity/Q33406,a family of Amerindian languages spoken in California,family of languages which is spoken in California and Mexico,Exact,TRUE,
"Chimariko, Chimariko language",https://en-word.net/id/oewn-06933771-n,https://www.wikidata.org/entity/Q1294251,the Hokan language spoken by the Chimariko,language,Exact,TRUE,
"Esselen, Esselen language",https://en-word.net/id/oewn-06933869-n,https://www.wikidata.org/entity/Q1294243,the Hokan language spoken by the Esselen,language,Exact,TRUE,
Kulanapan,https://en-word.net/id/oewn-06933963-n,,"a group of seven languages of the Hokan family, its boundaries were the Pacific Ocean to the west, Wintuan territory in the Sacramento Valley to the east, the head of the Russian River to the north, and Bodega Head and present-day Santa Rosa to the south",,None,FALSE,https://www.wikidata.org/wiki/Q2618420
"Pomo, Pomo language",https://en-word.net/id/oewn-06934077-n,https://www.wikidata.org/entity/Q36408,the Kulanapan language spoken by the Pomo,Bantu language of Cameroon,Exact,FALSE,https://www.wikidata.org/wiki/Q2618420
Quoratean,https://en-word.net/id/oewn-06934169-n,,"a group of languages of the Hokan family, deriving from Quoratem, an area near Salmon River",,None,FALSE,https://www.wikidata.org/wiki/Q1288440
"Karok, Karok language",https://en-word.net/id/oewn-06934283-n,https://www.wikidata.org/entity/Q1288440,the Quoratean language of the Karok,language,Exact,TRUE,
Shastan,https://en-word.net/id/oewn-06934370-n,https://www.wikidata.org/entity/Q2991735,a group of languages of the Hokan family in California,extinct language family,Exact,TRUE,
"Achomawi, Achomawi language",https://en-word.net/id/oewn-06934532-n,,the Shastan language spoken by the Achomawi,,None,FALSE,https://www.wikidata.org/wiki/Q56661
"Atsugewi, Atsugewi language",https://en-word.net/id/oewn-06934630-n,https://www.wikidata.org/entity/Q56718,the Shastan language spoken by the Atsugewi,language,Exact,TRUE,
"Shasta, Shasta language",https://en-word.net/id/oewn-06934728-n,https://www.wikidata.org/entity/Q56396,the Shastan language spoken by the Shasta,language,Exact,TRUE,
Yuman,https://en-word.net/id/oewn-06934822-n,,a group of language of the Hokan family in Arizona and California and Mexico,,None,FALSE,https://www.wikidata.org/wiki/Q579137
"Akwa'ala, Akwa'ala language",https://en-word.net/id/oewn-06935166-n,,the Yuman language spoken by the Akwa'ala,,None,FALSE,https://www.wikidata.org/wiki/Q56726
"Cochimi, Cochimi language",https://en-word.net/id/oewn-06935262-n,https://www.wikidata.org/entity/Q3915551,the Yuman language spoken by the Cochimi,extinct language spoken in Baja California,Exact,TRUE,
